PrincipaI Investigator:,Jessie Lacy,,,,
Project:,ERO19 Sediment Transport in Coastal Environments.,,,,
Geographic Location:,North San Francisco Bay,,,,
FAN #,2019-625-FA,,,,
,,,,,
Sample I.D.,Bag I.D.,Bag wt (g),Bag + wt sed (g),Bag + dry sed (g),Notes
01P1A-0,1,4.286,12.334,6.925,
01P1A-1,2,4.383,12.79,7.639,
01P1A-2,3,4.394,18.825,10.482,
01P1A-3,4,4.361,20.154,11.28,
01P1A-4,5,4.323,19.717,11.071,
01P1A-5,6,4.37,18.861,10.674,
01P1B-0,7,4.414,11.554,6.77,
01P1B-1,8,4.323,9.935,6.415,
01P1B-2,9,4.342,19.475,10.616,
01P1B-3,10,4.343,19.086,11.03,
01P1B-4,11,4.333,20.035,11.423,
01P1B-5,12,4.356,19.125,10.912,
01P1C-0,13,4.351,10.258,6.193,
01P1C-1,14,4.336,10.575,6.513,
01P1C-2,15,4.361,19.606,10.844,
01P1C-3,16,4.279,19.847,11.408,
01P1C-4,17,4.304,19.378,11.069,
01P1C-5,18,4.309,21.207,11.856,
01P2A-0,19,4.307,10.467,6.129,
01P2A-1,20,4.309,11.597,6.846,
01P2A-2,21,4.278,19.374,10.276,
01P2A-3,22,4.29,19.823,11.092,
01P2A-4,23,4.294,19.823,11.643,
01P2A-5,24,4.284,20.793,11.596,
01P2B-0,25,4.287,10.907,6.4,
01P2B-1,26,4.305,11.645,6.921,
01P2B-2,27,4.296,18.516,9.938,
01P2B-3,28,4.311,20.363,11.234,
01P2B-4,29,4.321,19.737,11.191,
01P2B-5,30,4.317,19.013,11.139,
01P2C-0,31,4.316,11.611,6.4,
01P2C-1,32,4.321,11.967,6.968,
01P2C-2,33,4.283,17.396,9.051,
01P2C-3,34,4.307,18.995,9.658,
01P2C-4,35,4.342,19.328,10.03,
01P2C-5,36,4.319,19.121,10.621,
01G2A-0,37,4.353,14.731,8.38,
01G2A-1,38,4.354,10.391,6.633,
01G2A-2,39,4.353,19.481,10.455,
01G2A-3,40,4.348,19.949,11.047,
01G2A-4,41,4.363,19.849,11.161,
01G2A-5,42,4.362,19,10.909,
01G2B-0,43,4.361,14.132,8.289,
01G2B-1,44,4.374,13.607,8.201,
01G2B-2,45,4.354,18.534,10.247,
01G2B-3,46,4.401,19.823,11.055,
01G2B-4,47,4.36,19.639,11.303,
01G2B-5,48,4.368,20.288,11.33,
01G2C-0,49,4.376,12.537,7.529,
01G2C-1,50,4.354,13.164,7.867,
01G2C-2,51,4.354,18.299,10.09,
01G2C-3,52,4.395,18.816,10.481,
01G2C-4,53,4.383,20.348,11.605,
01G2C-5,54,4.39,18.477,10.487,
01G1A-0,55,4.4,11.79,7.539,
01G1A-1,56,4.334,11.806,7.445,
01G1A-2,57,4.345,19.403,10.793,
01G1A-3,58,4.328,18.064,10.447,
01G1A-4,59,4.341,19.661,11.097,
01G1A-5,60,4.358,19.425,10.846,
01G1B-0,61,3.344,14.793,8.591,
01G1B-1,62,4.378,14.369,8.595,
01G1B-2,63,4.39,20.206,11.281,
01G1B-3,64,4.379,19.267,10.882,
01G1B-4,65,4.375,20.278,11.137,
01G1B-5,66,4.394,18.761,10.5,
01G1C-0,67,4.421,15.3,9.113,
01G1C-1,68,4.401,12.59,7.904,
01G1C-2,69,4.383,19.429,10.945,
01G1C-3,70,4.399,19.271,10.933,
01G1C-4,71,4.395,18.923,11.006,
01G1C-5,72,4.391,20.321,12.038,
