PrincipaI Investigator:,Jessie Lacy,,,
Project:,ERO19 Sediment Transport in Coastal Environments.,,,
Geographic Location:,North San Francisco Bay,,,
FAN #,2019-625-FA,,,
,,,,
Sample I.D.,Bag I.D.,Bag wt (g),Bag + wt sed (g),Bag + dry sed (g)
03G3A-0,145,3.253,10.7907,5.972
03G3A-1,146,3.252,11.2744,6.505
03G3A-2,147,3.231,18.1626,9.531
03G3A-3,148,3.275,17.4425,9.3
03G3A-4,149,3.268,19.1213,10.351
03G3A-5,150,3.229,17.8399,9.645
03G3B-0,151,3.257,12.0951,6.849
03G3B-1,152,3.227,12.4373,7.121
03G3B-2,153,3.193,17.6659,9.346
03G3B-3,154,3.258,18.5037,9.813
03G3B-4,155,3.227,17.5026,9.671
03G3B-5,156,3.27,18.12,9.821
03G3C-0,157,3.266,12.2586,6.924
03G3C-1,158,3.255,10.7599,6.389
03G3C-2,159,3.254,17.955,9.535
03G3C-3,160,3.274,18.3362,10.161
03G3C-4,161,3.244,18.6981,10.19
03G3C-5,162,3.307,18.0413,9.798
03G4C-0,163,3.284,12.6115,6.898
03G4C-1,164,3.264,12.476,6.98
03G4C-2,165,3.272,18.4494,9.738
03G4C-3,166,3.299,17.2063,9.103
03G4C-4,167,3.268,19.0607,9.764
03G4C-5,168,3.3,18.4695,9.638
03G4D-0,169,3.252,10.5973,5.581
03G4D-1,170,3.234,11.3595,6.261
03G4D-2,171,3.239,17.9891,9.269
03G4D-3,172,3.269,17.0243,9.114
03G4D-4,173,3.277,18.6174,9.727
03G4D-5,174,3.261,18.7367,9.878
03G4E-0,175,3.296,11.8399,6.433
03G4E-1,176,3.305,11.0881,6.503
03G4E-2,177,3.302,18.2286,9.752
03G4E-3,178,3.301,16.5067,8.914
03G4E-4,179,3.3,18.4044,9.854
03G4E-5,180,3.3,19.5141,10.221
03P1D-0,181,3.297,11.1523,6.264
03P1D-1,182,3.303,11.4967,6.66
03P1D-2,183,3.295,17.449,9.136
03P1D-3,184,3.29,18.07,9.665
03P1D-4,185,3.277,18.2769,9.799
03P1D-5,186,3.27,19.4567,10.109
03P1E-0,187,3.281,11.4635,6.23
03P1E-1,188,3.276,10.5342,6.264
03P1E-2,189,3.268,16.6053,8.559
03P1E-3,190,3.274,18.7941,9.812
03P1E-4,191,3.268,19.0979,10.439
03P1E-5,192,3.247,19.2612,10.653
03P1F-0,193,3.274,12.0765,6.142
03P1F-1,194,3.278,10.277,5.489
03P1F-2,195,3.273,17.2434,8.096
03P1F-3,196,3.228,17.841,9.146
03P1F-4,197,3.22,17.8063,9.356
03P1F-5,198,3.23,12.7911,7.126
03P3A-0,199,3.222,9.7476,5.44
03P3A-1,200,3.27,12.2111,6.705
03P3A-2,201,3.242,17.4869,9.091
03P3A-3,202,3.244,18.4147,9.973
03P3A-4,203,3.221,19.6226,10.927
03P3A-5,204,3.236,21.5663,12.12
03P3B-0,205,3.301,11.8388,6.676
03P3B-1,206,3.326,11.5978,6.744
03P3B-2,207,3.265,18.0588,9.723
03P3B-3,208,3.265,19.578,10.756
03P3B-4,209,3.228,18.2093,10.111
03P3B-5,210,3.246,19.1436,10.343
03P3C-0,211,3.306,13.0133,6.974
03P3C-1,212,3.318,10.6025,5.978
03P3C-2,213,3.291,16.6516,8.516
03P3C-3,214,3.263,20.1341,10.362
03P3C-4,215,3.269,19.3902,10.368
03P3C-5,216,3.254,17.502,9.622
